word,tf,df,tfidf
neuron,21592,1302,40654.456556288875
social,24140,2049,34505.6627032048
breast,16833,1358,30985.119731496026
peptide,16597,1537,28495.67471660838
sleep,10625,613,28008.98754761959
lung,18854,2039,27042.106862231223
depression,13538,1292,25594.377670750222
diabetes,14831,1574,25110.803784177115
pain,11926,1102,24443.803310110154
adolescent,12501,1218,24371.193191344806
liver,14523,1599,24360.46233820389
alcohol,12696,1292,24002.527619134646
heart,17226,2136,23906.49671706186
virus,12357,1239,23879.22359145459
infant,10099,813,23770.7619179586
injury,14722,1711,23697.58627459373
cognitive,13853,1568,23507.830888400193
parent,12761,1401,23091.83847186825
memory,12037,1353,22201.34748352035
mutant,12706,1496,22158.689458613433
variant,13397,1669,21897.731649483077
immune,14097,1925,21030.23861003491
macrophage,9293,926,20664.200148738037
sexual,8095,677,20535.668538459286
task,12843,1736,20486.717518474823
cortex,9340,961,20422.1951637221
surgery,13249,1844,20334.731293458783
mitochondrial,8279,755,20099.650155688403
residue,10566,1277,20099.026467617357
lipid,10550,1311,19791.372267703446
mrna,11339,1505,19706.69173832256
bone,9443,1092,19440.67033838099
kinase,11736,1636,19417.158287324935
compound,12073,1715,19405.37454021589
anxiety,8612,901,19385.609268357282
item,9920,1213,19380.238072222124
stem,12123,1733,19359.165973465788
cardiac,9923,1217,19353.430689053126
maternal,7906,761,19131.504731690653
simulation,8546,933,18938.788374371296
student,12225,1826,18883.0024739919
mental,10934,1523,18872.823001975314
mortality,13382,2135,18578.003303455826
channel,9901,1325,18468.703636979546
prostate,7179,669,18297.26719960066
smoking,8006,871,18292.61288630581
stroke,8719,1050,18292.108856666488
differentiation,11211,1738,17870.498068418958
energy,11405,1793,17824.412219001377
muscle,8884,1153,17806.933420603676
obesity,8172,969,17800.579964725002
plasma,11304,1777,17767.88846102551
transcription,11456,1835,17638.862541271024
motor,8409,1060,17562.03465460012
vaccine,6231,511,17559.801367185617
nanoparticle,5496,355,17490.399781580745
neural,9616,1421,17264.458819278298
food,10666,1701,17231.27869000471
lesion,9717,1457,17202.686594243434
delivery,10861,1764,17151.31870952917
glucose,8544,1157,17095.85375778909
phosphorylation,8545,1159,17083.096469534103
strain,9468,1418,17018.751145130398
mother,7222,819,16945.851426112324
particle,7746,964,16912.722100424966
genome,10547,1732,16848.54616261548
syndrome,11219,1917,16783.49158632107
education,11777,2065,16742.412086264947
endothelial,7864,1047,16520.85421716168
ligand,9146,1421,16420.626077487446
host,9020,1397,16348.051682073059
carcinoma,8113,1142,16339.32684778963
cytokine,8426,1245,16242.076672181174
schizophrenia,5413,441,16052.035331689154
methylation,5680,513,15984.821261004581
youth,6067,616,15963.842145758475
pregnancy,6492,740,15891.473064395197
vector,9777,1696,15823.850841995301
inflammation,9399,1593,15800.946796144752
injection,9446,1631,15657.277166830849
behavioral,10788,2006,15649.148012815926
pressure,10313,1884,15607.20418071065
matrix,10496,1948,15533.518004438669
renal,7421,1060,15498.615670327921
tobacco,5531,525,15437.611035057991
psychiatry,8623,1437,15385.088084565456
enzyme,10893,2085,15380.70692177487
histone,5694,575,15374.568118440291
viral,7445,1093,15320.495601938088
vascular,8848,1521,15283.872822908726
older,10983,2131,15268.108700272385
substrate,9685,1776,15228.558573346623
medication,8698,1489,15209.71340747073
intake,6223,745,15191.094253245557
training,9602,1759,15190.40428692413
repair,7363,1095,15138.293380406962
mirna,4087,211,15132.717499971906
nucleus,8902,1569,15100.56219277207
buffer,10275,1969,15096.275179778499
cluster,9755,1827,15062.44561631067
alzheimer,5696,608,15062.104012941953
word,7430,1127,15062.024867990609
language,7340,1100,15057.565795175893
spectrum,10583,2085,14942.992871857472
apoptosis,8097,1358,14904.44451172835
transplant,6125,752,14894.582775867817
stimulation,8738,1571,14811.235946295345
grade,8464,1498,14749.525322949294
birth,7342,1155,14703.451288807186
cortical,6642,937,14690.91945362912
diet,6710,960,14678.60581146592
genotype,6922,1027,14675.385710448294
neurosci,7566,1253,14535.86718445935
immunol,7415,1206,14529.251775615801
species,9739,1926,14523.813045756184
gender,9351,1811,14520.891882181431
radiation,6741,994,14511.807293286141
insulin,5764,696,14462.771034402072
psychology,7078,1114,14430.573456070382
kidney,7347,1201,14426.53333442981
inflammatory,8479,1565,14404.66647768599
stimulus,7467,1245,14393.494720054217
sirna,4691,400,14368.722485017552
screening,9794,2011,14182.863291021074
learning,7090,1162,14155.943651313944
cardiovascular,8106,1493,14152.769130176075
peak,9148,1828,14120.18671951942
allele,6402,948,14085.363105119735
hypertension,6646,1029,14077.306011665298
partner,7189,1208,14074.506026666564
nuclear,9118,1828,14073.880903867303
bacterial,6638,1032,14041.036100671516
transplantation,5761,757,13971.241258695272
algorithm,8731,1733,13942.49592628308
promoter,6877,1138,13874.19156905744
autism,4000,270,13824.33192567872
sequencing,7439,1335,13820.31085133318
fluorescence,7603,1395,13790.741436574164
resistance,8984,1845,13783.885129347751
chemotherapy,6173,924,13739.819378956536
melanoma,4649,449,13702.844062889797
antigen,6866,1170,13661.595436091853
plate,8249,1639,13632.820070450683
provider,6335,999,13605.99727480979
proliferation,8432,1707,13592.487019002316
